,loss
333,0.0064134914
334,0.006201104
335,0.005374511
336,0.0051727802
337,0.005821317
338,0.006343962
339,0.005809255
340,0.0057237907
341,0.0060364865
342,0.005875921
343,0.0056879064
344,0.0061708745
345,0.0075897
346,0.0058332556
347,0.007257278
348,0.0062481146
349,0.0065440517
350,0.006326427
351,0.0067979647
352,0.0067198216
353,0.0062443097
354,0.005904914
355,0.0058863093
356,0.006705135
357,0.0053511914
358,0.005627927
359,0.0054308893
360,0.0073365215
361,0.006645212
362,0.005512475
363,0.0056035183
364,0.005135874
365,0.00627241
366,0.0082829
367,0.006808766
368,0.007681288
369,0.007392162
370,0.006655829
371,0.0070473854
372,0.008418437
373,0.0067550372
374,0.005649623
375,0.006218336
376,0.0056918385
377,0.0054580807
378,0.005544164
379,0.0060431613
380,0.007375172
381,0.009347946
382,0.005516027
383,0.005108392
384,0.005325292
385,0.005611842
386,0.0053117
387,0.005401658
388,0.0053020846
389,0.0055168015
390,0.0057117403
391,0.006475088
392,0.0050317543
393,0.005081453
394,0.0050485046
395,0.00531808
396,0.0073285806
397,0.006532172
398,0.006648367
399,0.0057740086
400,0.00863806
401,0.0064753448
402,0.005637962
403,0.00536514
404,0.0051895697
405,0.004807583
406,0.0049201585
407,0.005111423
408,0.005083597
409,0.005326859
410,0.0054009836
411,0.0051286994
412,0.005291758
413,0.007458648
414,0.010970826
415,0.008574108
416,0.008172551
417,0.005962707
418,0.0070207487
419,0.0055710343
420,0.0054419525
421,0.005341333
422,0.0048258035
423,0.0055950326
424,0.008146623
425,0.0069052433
426,0.0063841823
427,0.0053246366
428,0.0047335485
429,0.005045384
430,0.005258047
431,0.0048267157
432,0.004830068
433,0.0047564283
434,0.0056210216
435,0.0054500117
436,0.0048812223
437,0.005006166
438,0.0049442034
439,0.005446154
440,0.007228743
441,0.0070798467
442,0.0057790433
443,0.005118068
444,0.005701255
445,0.005061189
446,0.0047068917
447,0.0049308008
448,0.0047052205
449,0.006540517
450,0.005658585
451,0.00518155
452,0.005000078
453,0.0056100376
454,0.0062455176
455,0.0056085875
456,0.006390097
457,0.0053199073
458,0.0055793496
459,0.005440721
460,0.0047753747
461,0.004565948
462,0.0048536765
463,0.0045953863
464,0.0044965255
465,0.005621814
466,0.0075556394
467,0.0065617724
468,0.0061563607
469,0.0060076895
470,0.0059442986
471,0.0051083877
472,0.0054064705
473,0.005392476
474,0.0055487747
475,0.0053828307
476,0.005949487
477,0.0050052265
478,0.0063856575
479,0.0063552815
480,0.0056153717
481,0.0059944857
482,0.0061985096
483,0.0052341605
484,0.00461503
485,0.0047385343
486,0.004409988
487,0.0042884503
488,0.0043745334
489,0.0044802665
490,0.0057122028
491,0.0062057944
492,0.0056665223
493,0.006005896
494,0.006703639
495,0.004776641
496,0.0051270737
497,0.005131971
498,0.004685922
499,0.0046423967
