,loss
153,0.013698719
154,0.015019433
155,0.016096365
156,0.015335066
157,0.014713565
158,0.013839134
159,0.015198463
160,0.014519855
161,0.012628188
162,0.015527406
163,0.016597485
164,0.01962733
165,0.01604092
166,0.015392211
167,0.015836641
168,0.018066326
169,0.017974554
170,0.014818872
171,0.013693724
172,0.014591288
173,0.013595298
174,0.014093548
175,0.01305871
176,0.013926878
177,0.013468632
178,0.011693952
179,0.014032534
180,0.017368315
181,0.013899419
182,0.014147871
183,0.012591894
184,0.010828827
185,0.012203813
186,0.011566719
187,0.013230153
188,0.011081846
189,0.013118705
190,0.011261231
191,0.012861527
192,0.0131155355
193,0.011342716
194,0.009816274
195,0.010289129
196,0.012827825
197,0.010405465
198,0.009908079
199,0.010802598
200,0.00985753
201,0.010303472
202,0.009624717
203,0.0115276165
204,0.012997313
205,0.012450958
206,0.01124263
207,0.011501334
208,0.0109247
209,0.0138412425
210,0.011575613
211,0.011168456
212,0.014030345
213,0.009743362
214,0.010469543
215,0.009723323
216,0.010664176
217,0.010095405
218,0.011364751
219,0.010517187
220,0.010881086
221,0.0110265175
222,0.010317477
223,0.012607017
224,0.011812101
225,0.013140678
226,0.010944561
227,0.010852354
228,0.010878448
229,0.010375576
230,0.010498575
231,0.009605705
232,0.0145637905
233,0.013098574
234,0.0103453025
235,0.010409346
236,0.008817434
237,0.008334734
238,0.008837811
239,0.009005938
240,0.010100136
241,0.014604604
242,0.011402651
243,0.009200113
244,0.00973035
245,0.009490542
246,0.008796759
247,0.008530428
248,0.011003411
249,0.009162414
250,0.0076359604
251,0.008137699
252,0.007752478
253,0.008258227
254,0.008837174
255,0.009179881
256,0.010218912
257,0.008710879
258,0.009955118
259,0.008726625
260,0.009470618
261,0.011550881
262,0.009894038
263,0.009613639
264,0.009461713
265,0.010760851
266,0.010113849
267,0.009859583
268,0.00874593
269,0.008568822
270,0.008392195
271,0.008141844
272,0.009807929
273,0.011686773
274,0.011930585
275,0.010894388
276,0.008564812
277,0.008461431
278,0.00925227
279,0.008936059
280,0.012908294
281,0.008758822
282,0.008256803
283,0.008115738
284,0.008288258
285,0.0082060825
286,0.0094139185
287,0.010504078
288,0.017161394
289,0.018842485
290,0.013883185
291,0.011057861
292,0.00981485
293,0.009732529
294,0.008329089
295,0.009960325
296,0.009254906
297,0.009439476
298,0.010379101
299,0.009196118
300,0.009002131
301,0.008376467
302,0.0091651445
303,0.012174628
304,0.01156808
305,0.0094492715
306,0.009278992
307,0.010448832
308,0.011050446
309,0.009032181
310,0.009601704
311,0.0088688955
312,0.008573942
313,0.008535904
314,0.009343116
315,0.009399183
316,0.008953551
317,0.009459844
318,0.010496094
319,0.008947903
320,0.009275231
321,0.011445214
322,0.011497057
323,0.009035004
324,0.007959731
325,0.008375354
326,0.008750702
327,0.010100351
328,0.009239151
329,0.00831391
330,0.007852085
331,0.011510245
332,0.009473199
333,0.007857395
334,0.008442161
335,0.0071837567
336,0.007921958
337,0.0066187917
338,0.0070700394
339,0.012803011
340,0.009636934
341,0.007960616
342,0.007926797
343,0.00707091
344,0.007770401
345,0.007900404
346,0.0091927
347,0.008728099
348,0.008099605
349,0.01709989
350,0.014389983
351,0.012951808
352,0.010637422
353,0.010088211
354,0.0099490965
355,0.009321765
356,0.009306414
357,0.008054788
358,0.0075298417
359,0.008169895
360,0.008171533
361,0.010653987
362,0.008910246
363,0.010605471
364,0.009747322
365,0.010812525
366,0.0109215705
367,0.010226759
368,0.00886556
369,0.007451864
370,0.0071860035
371,0.007640313
372,0.0070526088
373,0.0072396058
374,0.0073306602
375,0.0076456056
376,0.007982409
377,0.009341181
378,0.010204664
379,0.01060985
380,0.008820797
381,0.008106177
382,0.011491392
383,0.01238318
384,0.0114314975
385,0.011525537
386,0.0100214295
387,0.01287735
388,0.007800921
389,0.008246574
390,0.0076423297
391,0.008211664
392,0.0076132384
393,0.007486338
394,0.007987283
395,0.01028398
396,0.009428462
397,0.008684149
398,0.008954783
399,0.008555928
400,0.010800588
401,0.009042449
402,0.007972442
403,0.008050078
404,0.00896798
405,0.009562361
406,0.00940918
407,0.009908477
408,0.009743907
409,0.010633116
410,0.0085421335
411,0.00916567
412,0.016506128
413,0.010352827
414,0.008433493
415,0.0074385484
416,0.0073871636
417,0.0077598244
418,0.008917365
419,0.009023392
420,0.008383903
421,0.008835662
422,0.010402695
423,0.009056045
424,0.008180805
425,0.008759223
426,0.009018975
427,0.009615928
428,0.009948677
429,0.009542002
430,0.009117289
431,0.009663879
432,0.00998988
433,0.011013699
434,0.012330804
435,0.014083405
436,0.009160717
437,0.00907616
438,0.00908642
439,0.009984334
440,0.009217458
441,0.009792736
442,0.00939908
443,0.013341094
444,0.008800919
445,0.00856868
446,0.008880324
447,0.007895443
448,0.008102007
449,0.008079238
450,0.008000091
451,0.0075670793
452,0.008683039
453,0.009714849
454,0.010132184
455,0.010105014
456,0.007986772
457,0.008064521
458,0.008608619
459,0.007959601
460,0.009212017
461,0.0070742145
462,0.0067550535
463,0.0070699635
464,0.0098706
465,0.008765732
466,0.007945643
467,0.009750971
468,0.009705924
469,0.008854931
470,0.009512346
471,0.008952445
472,0.008231077
473,0.00801199
474,0.007321552
475,0.007468002
476,0.009241899
477,0.0074312463
478,0.007885138
479,0.00824469
480,0.009230678
481,0.009469323
482,0.008162113
483,0.007880837
484,0.0083289845
485,0.009207921
486,0.008387889
487,0.008405273
488,0.009736488
489,0.009510836
490,0.010232494
491,0.0077023506
492,0.0074272994
493,0.0082612205
494,0.0073662954
495,0.008482842
496,0.00865715
497,0.008301967
498,0.00943798
499,0.010646678
